"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C4,C5";"C_0805_2012Metric";2;"22pf";;;
2;"D18,D28,D7,D16,D38,D9,D27,D13,D11,D6,D35,D14,D33,D31,D34,D32,D30,D20,D24,D25,D22,D10,D17,D19,D8,D26,D23,D21,D2,D15,D36,D5,D3,D37,D1,D12,D29,D4,D39,D40";"LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm";40;"NEOPIXEL_SMT";;;
3;"H2,H1,H3,H4";"MountingHole_3.2mm_M3";4;"MountingHole";;;
4;"SW1,SW3,SW5,SW2,SW4";"SW_SPST_Omron_B3FS-100xP";5;"Omron_B3F_SPST";;;
5;"C2,C3,C8";"C_0805_2012Metric";3;"C_0805_0.1uf";;;
6;"U5";"HC-SR04_Horiz";1;"UltrasonicModule";;;
7;"R11,R9,R12,R10";"R_0805_2012Metric";4;"R_0805_10K";;;
8;"DS1";"Adafruit-1001-0-0-MFG";1;"LED_Display_1001";;;
9;"R15,R14";"R_0805_2012Metric";2;"4.7K";;;
10;"C6";"C_0805_2012Metric";1;"1uf";;;
11;"C10,C1,C11,C12,C13";"C_0805_2012Metric";5;"10uf";;;
12;"R2";"R_0805_2012Metric";1;"10K";;;
13;"R4,R3";"R_0805_2012Metric";2;"47";;;
14;"U2";"TO-252-2";1;"L7805";;;
15;"C7";"C_0805_2012Metric";1;"C_0805_1uf";;;
16;"BZ1";"Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm";1;"Buzzer";;;
17;"D50";"LED_0805_2012Metric";1;"LED_0805";;;
18;"C9";"C_0805_2012Metric";1;"C_0805_10uf";;;
19;"U3";"DIP-24_W7.62mm";1;"MAX7219";;;
20;"R1";"R_0805_2012Metric";1;"2.2K";;;
21;"R13";"R_0805_2012Metric";1;"R_0805_47";;;
22;"U4";"DIP-8_W7.62mm";1;"DS1307_DIP-8";;;
23;"Y1";"Crystal_SMD_HC49-SD";1;"16MHz";;;
24;"U1";"DIP-28_W7.62mm";1;"ATmega328-PU";;;
25;"BT1";"BatteryHolder_Keystone_106_1x20mm";1;"Battery_Cell";;;
26;"J2";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
27;"Y2";"Crystal_SMD_2Pin_3.2x1.5mm";1;"Crystal_32768Hz";;;
28;"R5";"R_0805_2012Metric";1;"R_0805_22K";;;
29;"J3";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
30;"J1";"Wurth-694106402002";1;"Power_inlet_vertical";;;
